iana_id,registrar_name,URL,RAA,NAME,EMAIL,PHONE,country_name
2,"Network Solutions, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
9,"Register.com, Inc.",www.register.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
13,Webcentral Group Limited dba Melbourne IT,https://melbourneit.com.au,2013,Domain Policy Officer,policy@melbourneit.com.au,+61 386242300,14
14,ORANGE,cloud.orange-business.com/noms-de-domaine,2013,Registrar ORANGE,domaine-admin@orange.com,+33 800216000,76
15,"COREhub, S.R.L.",corehub.net,2013,Amadeu Abril I Abril,support@corehub.net,+34 935275235,209
30,NameSecure L.L.C.,www.namesecure.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
48,"eNom, LLC",www.enom.com,2013,Public Contact,legal@enom.com,+1 4165350123,236
49,"GMO Internet, Inc. d/b/a Onamae.com",www.gmo.jp,2013,Domain Business Department,icann@gmo.jp,+81 354561120,112
52,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",www.aplus.net,2013,Sean Kernaghan,icanncompliancesupport@deluxe.com,+1 7278003165,236
57,"Advanced Internet Technologies, Inc. (AIT)",www.ait.com,2013,Byron Briggs,icanncompliance@ait.com,+1 9103211200,236
64,"Domain Registration Services, Inc. dba dotEarth.com",www.dotEarth.com,2013,Customer Service,support@dotearth.com,+1 8883399001,236
65,"DomainPeople, Inc.",www.domainpeople.com,2013,Domain Support,support@domainpeople.com,+1 6046391680,40
66,"Enameco, LLC",www.eNameCo.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
68,NordNet SA,www.nordnet.net,2013,Scott Jung,scott.jung@nordnet.fr,+33 320665670,76
69,Tucows Domains Inc.,www.tucows.com,2013,Customer Support,help@opensrs.com,+1 4165350123,40
73,Ports Group AB,ports.domains,2013,Anna Kronvall,anna.kronvall@portsgroup.com,+46 707260017,215
74,Online SAS,www.bookmyname.com,2013,Stephanie Kolaric,icann@free.org,+33 173502920,76
76,Nominalia Internet SL,www.nominalia.com,2013,Claudio Corbetta,gestiontld@nominalia.com,+34 932884062,209
78,"PSI-Japan, Inc.",psi.jp,2013,Yasunori Iwatani,registry@psi-japan.co.jp,+81 332346921,112
79,Easyspace Limited,www.easyspace.com,2013,Host Master,hostmaster@easyspace.com,+44 3707555066,235
81,Gandi SAS,www.gandi.net,2013,Stephan Ramoin,icann-contact@gandi.net,+33 170377880,76
82,"OnlineNIC, Inc.",www.onlinenic.com,2013,Carrie Arden,icann@onlinenic.com,+86 5922951069,236
83,1&1 IONOS SE,www.ionos.com,2013,Thomas Keller,compliance@ionos.de,+49 721913744534,83
84,UK-2 Limited,uk2group.com,2013,Sara Cunha-Rego,domainmanagement@uk2group.com,+44 7885970053,235
85,EPAG Domainservices GmbH,www.epag.de,2013,Ashley La Bolle,compliance@epag.de,+49 2283296840,83
86,TierraNet Inc. d/b/a DomainDiscover,www.tierra.net,2013,Domain Admin,support@tierra.net,+1 8585608120,236
87,"HANGANG Systems, Inc. dba Doregi.com",www.doregi.com,2013,Chaekyu Park,doregi@doregi.com,+82 7071630278,119
88,Namebay SAM,www.namebay.com,2013,Alexandra Madonia,contact@namebay.com,+377 97706164,147
91,"007Names, Inc.",www.007names.com,2013,Registration Administrator,info@007names.com,+1 9087222211,236
93,"GKG.NET, INC.",www.gkg.net,2013,Paul Marvin,paul@gkg.net,+1 9797105060,236
99,"pair Networks, Inc. d/b/a pair Domains",https://www.pairdomains.com,2013,pair Domains Support,support@pairdomains.com,+1 4123815195,236
100,Whois Corp.,https://www.whois.co.kr,2013,Jihoon Jung,info@yesnic.com,+82 7043109600,119
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",ascio.com,2013,Ashley La Bolle,nicrelations@ascio.com,+49 2283296840,61
111,Secura GmbH,www.domainregistry.de,2013,Hans-Peter Oswald,secura@domainregistry.de,+49 16091234145,83
112,Catalog.com,webhero.com,2013,Robert W. Crull,bcrull@webhero.com,+1 4057539300x102,236
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,www.joker.com,2013,Jan Legenhausen,icann@nrw.net,+49 211867670,83
120,Xin Net Technology Corporation,www.xinnet.com,2013,Grace Grace,support@xinnet.com,+86 1058022233,46
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",www.spiritdomains.com,2013,Nate Delanoy,nate.delanoy@spiritcom.com,+1 7042061304,236
128,DomainRegistry.com Inc.,www.DomainRegistry.com,2013,Customer Service,syshelp45@domainregistry.com,+1 856-335-5950,236
130,"Netpia.com, Inc.",www.ibi.net,2013,domain team,webmaster@ibi.net,+82 221657217,119
131,Total Web Solutions Limited trading as TotalRegistrations,www.totalregistrations.com,2013,Geoff Brereton,info@totalregistrations.com,+44 8448475838,235
134,BB-Online UK Limited,www.nominate.com,2013,Robert Fox,bob@nominate.net,+44 1582572148,235
140,"Acens Technologies, S.L.U.",www.acens.com,2013,Cecilia Moreano,dominios@acens.com,+34 00 34 900103293,209
141,Cronon GmbH,www.cronon.net,2013,Dirk Schiemann,registrar-admin@cronon.net,+49 3039802410,83
143,"Omnis Network, LLC",www.omnis.com,2013,James Fromm,fromm@omnis.com,+1 3103161425,236
144,"Alldomains, LLC",www.alldomains.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
146,"GoDaddy.com, LLC",www.godaddy.com,2013,Legal Department,legal@godaddy.com,+1 4805058800,236
151,"PSI-USA, Inc. dba Domain Robot",www.psi-usa.info,2013,Thomas Moerz,hostmaster@psi-usa.info,+49 941 595590,83
168,Register SpA,www.register.it,2013,Claudio Corbetta,info.registrar@register.it,+34 932884062,110
186,NameScout Corp.,www.namescout.com,2013,General Counsel,legal@namescout.com,+1 6132252000,230
226,Deutsche Telekom AG,www.registrar.telekom.de,2013,Andreas Bartels,info.domainregistrar@telekom.de,+49 15111662104,83
228,Moniker Online Services LLC,www.moniker.com,2013,Registry Liaison,registry-liaison@key-systems.net,+49 68949396850,236
244,"Gabia, Inc.",www.gabia.com,2013,Chang Ki Jang,rrinfo@gabia.com,+82 28293543,119
249,Mps Infotecnics Limited,www.signdomains.com,2013,Rajesh Kumar,rkumar@viseshinfo.com,+91 114357104445,103
269,Key-Systems GmbH,www.key-systems.net,2013,Registry Liaison,registry-liaison@key-systems.net,+49 68949396850,83
270,"Address Creation, LLC",www.addresscreation.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
275,"Alice's Registry, Inc.",alices-registry.com,2013,Rick Wesson,support@alices-registry.com,+1 4158618500,236
277,"Interlink Co., Ltd.",www.gonbei.jp,2013,Tadashi Yokoyama,support@gonbei.jp,+81 339853825,112
291,"DNC Holdings, Inc.",www.directnic.com,2013,Rob Alfonso,inquiries@directnic.com,+1 5044107600,236
292,MarkMonitor Inc.,www.markmonitor.com,2013,Brian King,compliance@markmonitor.com,+1 2083895740,236
299,"CSC Corporate Domains, Inc.",https://www.cscdbs.com/,2013,Gretchen Olive,tldsupport@cscglobal.com,+1 3026365400x63180,236
303,PDR Ltd. d/b/a PublicDomainRegistry.com,publicdomainregistry.com,2013,Domain Manager,tldadmin@logicboxes.com,+1 2013775952,103
320,TLDS L.L.C. d/b/a SRSPlus,www.srsplus.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
321,"Registration Technologies, Inc.",www.RegistrationTek.com,2013,James Archer,support@registrationtek.com,+1 4016482137,236
353,Bombora Technologies Pty Ltd,bomboraregistrar.com,2013,George Pongas,george@registry.godaddy,+61 411768295,14
360,Abu-Ghazaleh Intellectual Property dba TAGIdomains.com,www.tagidomains.com,2013,Mahmoud Lattouf,mlattouf@agip.com,+962 65100900,114
363,"Funpeas Media Ventures, LLC dba DomainProcessor.com",www.DomainProcessor.com,2013,Henry Chen,nican@domainprocessor.com,+1 5102794722,236
379,"Arsys Internet, S.L. dba NICLINE.COM",www.nicline.com,2013,Monica Cayuela,domainnames@arsys.es,+34 941620100,209
380,Tuonome.it Srl d/b/a APIsrs.com,www.tuonome.com,2013,Gianluca Pellegrini,staff@tuonomegroup.com,+39 0572411507,110
381,DomReg Ltd. d/b/a LIBRIS.COM,www.libris.com,2013,Svetlana Ivanova,domreg@registrar.libris.com,+7 9312361245,183
401,"Misk.com, Inc.",www.misk.com,2013,Customer Support,support@misk.com,+1 4252304250,236
411,"Sea Wasp, LLC",www.fabulous.com,2013,Rob Alfonso,inquiries@fabulous.com,+1 5044107600,236
412,"Domain-It!, Inc.",https://www.domainit.com/,2013,Paul Goldstone,administrator@domainit.com,+1 5133514222,236
413,"Domain Pro, LLC",www.domainpro.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
418,CommuniGal Communication Ltd.,www.galcomm.com,2013,Moshe Fogel,icann@galcomm.com,+972 98850558,109
420,"Alibaba Cloud Computing (Beijing) Co., Ltd.",www.net.cn,2013,HiChina Zhicheng Technology Limited,regsupport@list.alibaba-inc.com,+86 1065985888,46
430,CORPORATION SERVICE COMPANY (UK) LIMITED,https://www.cscdbs.com/,2013,Gretchen Olive,tldsupport@cscglobal.com,+1 3026365400x63180,236
431,"DreamHost, LLC",www.DreamHost.com,2013,Christopher Ghazarian,legal@dreamhost.com,+1 3233753831,236
433,OVH sas,www.ovh.com,2013,Octave Klaba,icann@ovh.net,+33 643309083,76
437,SiteName Ltd.,www.sitename.com,2013,Moshe Fogel,moshef@sitename.com,+972 39412459,109
440,"Wild West Domains, LLC",www.wildwestdomains.com,2013,Reseller Support,support@wildwestdomains.com,+1 4805058800,236
444,"Inames Co., Ltd.",www.inames.co.kr,2013,YOHAN LEE,ry-admin1@i-names.co.kr,+82 1054654462,119
447,SafeNames Ltd.,www.safenames.net,2013,Jonathan Stock,hostmaster@safenames.net,+44 1908200022x221,235
448,"Universal Registration Services, Inc. dba NewDentity.com",www.newdentity.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
450,"DomainName.com, Inc.",www.domainname.com,2013,Registrar Manager,support@domainname.com,+1 8888322523,236
452,"Name105, Inc.",www.name.com,2013,Jillian Robinson,support@name.com,+1 7202492374,236
453,"AllGlobalNames, S.A. dba Cyberegistro.com",www.allglobalnames.com,2013,Victoria Ruiz,vruiz@herrero.es,+34 915227420,209
455,"EnCirca, Inc.",www.encirca.com,2013,Thomas Barrett,support@encirca.com,+1 7814921315,236
456,Webnames.ca Inc.,www.webnames.ca,2013,Cybele Negris,president@webnames.ca,+1 6046333097,40
460,Web Commerce Communications Limited dba WebNic.cc,www.webnic.cc,2013,WebNIC Support,support@webnic.cc,+60 389966788,243
463,"Regional Network Information Center, JSC dba RU-CENTER",nic.ru,2013,Sergey A. Gorbunov,tld-adm@nic.ru,+7 4957376975,183
465,Domains.coop Limited,www.domains.coop,2013,Violetta Nafpaktiti,violetta@domains.coop,+44 1865403136,235
466,"DomainSite, Inc.",www.name.com,2013,Jillian Robinson,support@name.com,+1 7202492374,236
468,"Amazon Registrar, Inc.",registrar.amazon.com,2013,Gregory DiBiase,registrar@amazon.com,+1 3107484560,236
469,easyDNS Technologies Inc.,www.easydns.com,2013,Mark Jeftovic,support@easydns.com,+1 4165358672,40
470,Nom-iq Ltd. dba COM LAUDE,www.comlaude.com,2013,Lorna Gradden,admin@comlaude.com,+44 2074218250,235
471,"Bizcn.com, Inc.",www.bizcn.com,2013,Carol Chen,contact@bizcn.com,+86 5922179566,46
472,"Dynadot, LLC",www.dynadot.com,2013,Dynadot Staff,info@dynadot.com,+1 6502620100,236
474,IDC Frontier Inc.,do-reg.jp/,2013,Kazuhisa Matsumoto,gtld-admin@do-reg.jp,+81 662614645,112
600,Rebel Ltd,www.rebel.com,2013,General Counsel,legal@rebel.com,+1 6132252000,230
601,French Connexion SARL dba Domaine.fr,www.Domaine.fr,2013,Syamak Bavafa,support@domaine.fr,+33 0782020602,76
603,Inic GmbH,www.inic.ch,2013,Beat Fehr,beat.fehr@inic.ch,+41 615442002,216
604,In2net Network Inc.,www.in2net.com,2013,Kevin Tang,registrar@in2net.com,+1 6046086868,40
605,rockenstein AG,www.rockenstein.de,2013,Christoph Rockenstein,info@rockenstein.de,+49 931299344,83
606,"Namezero, LLC",www.namezero.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
607,Annulet LLC,www.annulet.com,2013,George Stathas,icann@buydomains.com,+1 7818397950,236
609,"Sav.com, LLC",https://sav.com/,2013,Sav Support,support@sav.com,+1 (888) 580-8790,236
612,"Blue Razor Domains, LLC",www.bluerazor.com,2013,Support at Bluerazor.com,support@bluerazor.com,+1 4805058800,236
615,"Vivid Domains, Inc.",www.vividdomains.com,2013,Registar Administration,registrar-admin@vividdomains.com,+1 3459285961,23
617,Epik Inc.,www.epik.com,2013,Rob Monster,rob@epik.com,+1 4257650077,236
619,"Domainducks, LLC",www.personalnames.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
620,"Fiducia LLC, Latvijas Parstavnieciba",www.fiducia.com,2013,Nikolay Volmar,registrar@fiducia.com,+371 25723712,123
625,"Name.com, Inc.",www.name.com,2013,Jillian Robinson,support@name.com,+1 7202492374,236
626,NeoNIC OY,www.neonic.com,2013,Andrew Vigandt,info@mail.neonic.com,+358 505332000,75
633,Beijing Innovative Linkage Software Service Co. Ltd,www.dns.com.cn,2013,Binbin Chen,abuse@dns.com.cn,+86 5922179528,46
634,NetTuner Corp. dba Webmasters.com,www.webmasters.com,2013,Leonard Bensonoff,bensonoff@webmasters.com,+1 8138399000,236
635,"SNAPNAMES 72, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
636,"BRANDON GRAY INTERNET SERVICES INC. (dba ""NameJuice.com"")",www.namejuice.com,2013,Darius Patel,dpatel@namejuice.com,+1 9054152681x402,40
637,Dot Holding Inc.,www.dotology.com,2013,Rob Alfonso,inquiries@dotology.com,+1 5044107600,236
638,Name SRS AB,namesrs.com,2013,Domain Admin,registry@nameisp.com,+46 313011220,215
642,Ladas Domains LLC d/b/a Principium Strategies,www.principiumstrategies.com,2013,Sean Wilke,domains-registrar@corsearch.com,+1 8007327241,236
645,GMO-Z.com Pte. Ltd.,z.com/sg/,2013,GMO Z.com Pte. Ltd.,gmo-di@gmo.jp,+81 354561120,112
646,"SNAPNAMES 73, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
647,"SNAPNAMES 74, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
648,Webagentur.at Internet Services GmbH d/b/a domainname.at,www.domainname.at,2013,Thomas Dolezal,general-icann@webagentur.at,+43 5936666,15
650,"SNAPNAMES 75, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
652,"SNAPNAMES 76, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
653,"NamePal.com #8028, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
654,"SNAPNAMES 77, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
655,"SNAPNAMES 78, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
656,"SNAPNAMES 79, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
658,"Register Names, LLC",www.registernames.com,2013,Customer Service Department,support@mydomain-inc.com,+1 8004057875,236
659,"SNAPNAMES 80, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
661,"SNAPNAMES 81, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
662,"SNAPNAMES 82, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
663,"SNAPNAMES 83, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
664,Web4Africa (Pty) Ltd,web4africa.com,2013,Oluniyi Ajao,sales@web4africa.net,+27 105008831,206
666,"SNAPNAMES 84, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
667,"Name Share, Inc.",www.nameshare.com,2013,Colleen Walsh,support@nameshare.com,+1 6175071282,236
670,"$$$ Private Label Internet Service Kiosk, Inc. (dba ""PLISK.com"")",plisk.com,2013,Jothan Frakes,registrarmail@plisk.com,+1 7252223687,236
671,"CSC Management Consulting (Shanghai) Co., Ltd.",https://www.cscdbs.com/,2013,Gretchen Olive,tldsupport@cscglobal.com,+1 3026365400x63180,236
672,"SNAPNAMES 85, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
675,Super Registry Ltd,www.superregistry.co,2013,Legal Counsel,rarlegal@pool.com,+1 6132252000,230
677,NetRegistry Pty Ltd.,https://netregistry.com.au,2013,Domain Policy Officer,policy@melbourneit.com.au,+61 386242300,14
682,"NamePal.com #8008, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
695,MOBIKAPP Limited,www.galcomm.com,2013,Moshe Fogel,icann@galcomm.com,+972 98850558,109
696,"Entorno Digital, S.A.",www.entorno.es,2013,Baldo Martinez,nic@entorno.es,+34 639039050,209
697,"Todaynic.com, Inc.",www.todaynic.com,2013,Ma Songxin,info@todaynic.com,+86 7563810566,46
698,"Dagnabit, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
699,"Internet Internal Affairs, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
700,"Blisternet, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
701,"Domainnovations, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
702,"Dropoutlet, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
703,"Nom Infinitum, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
704,"SNAPNAMES 89, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
705,"Extra Threads, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
706,"Indirection Identity, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
707,"Fushi Tarazu, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
708,"SNAPNAMES 1, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
709,"DomainAllies.com, Inc.",www.domainallies.com,2013,Susan Prosser,legal@domainallies.com,+1 2068389035,236
719,"NamePal.com #8001, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
731,Domus Enterprises LLC dba DOMUS,www.domus-llc.com,2013,Dennis Schtuhlberg,support@mail.domus-llc.com,+1 8883970996,236
734,"NamePal.com #8004, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
735,Rebel.ca Corp.,www.rebel.ca,2013,General Counsel,legal@rebel.ca,+1 6132252000,40
743,"NamePal.com #8002, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
748,"NamePal.com #8023, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
750,"Nerd Names, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
751,"Sicherregister, LLC",www.networksolutions.com,2013,Customer Service,customerservice@networksolutions.com,+1 8886429675,236
